"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73","Создание заказа со значением ключа color","tests","Wed Sep 11 10:01:34 MSK 2024","passed","Wed Sep 11 10:01:35 MSK 2024","TestOrderCreate","test_order_create","",""
"","60063","Логин курьера без обязательных ключей в теле запроса","tests","Wed Sep 11 10:00:34 MSK 2024","failed","Wed Sep 11 10:01:34 MSK 2024","TestLoginCourier","test_login_courier","",""
"","58261","Отображение списка заказов","tests","Wed Sep 11 10:01:35 MSK 2024","passed","Wed Sep 11 10:02:33 MSK 2024","TestOrderList","test_order_list","",""
"","69","Логин курьера без обязательных ключей в теле запроса","tests","Wed Sep 11 10:01:34 MSK 2024","passed","Wed Sep 11 10:01:34 MSK 2024","TestLoginCourier","test_login_courier","",""
"","63","Создание заказа со значением ключа color","tests","Wed Sep 11 10:01:34 MSK 2024","passed","Wed Sep 11 10:01:34 MSK 2024","TestOrderCreate","test_order_create","",""
"","101","Логин курьера с некорректным значением ключа","tests","Wed Sep 11 10:01:34 MSK 2024","passed","Wed Sep 11 10:01:34 MSK 2024","TestLoginCourier","test_login_courier","",""
"","111","Логин курьера с некорректным значением ключа","tests","Wed Sep 11 10:01:34 MSK 2024","passed","Wed Sep 11 10:01:34 MSK 2024","TestLoginCourier","test_login_courier","",""
"","91","Создание курьера без обязательных ключей в теле запроса","tests","Wed Sep 11 10:00:33 MSK 2024","passed","Wed Sep 11 10:00:34 MSK 2024","TestCreateCourier","test_create_courier","",""
"","64","Успешный логин курьера","tests","Wed Sep 11 10:00:34 MSK 2024","passed","Wed Sep 11 10:00:34 MSK 2024","TestLoginCourier","test_login_courier","",""
"","214","Регистрация существующего курьера","tests","Wed Sep 11 10:00:33 MSK 2024","passed","Wed Sep 11 10:00:33 MSK 2024","TestCreateCourier","test_create_courier","",""
"","73","Создание курьера без обязательных ключей в теле запроса","tests","Wed Sep 11 10:00:34 MSK 2024","passed","Wed Sep 11 10:00:34 MSK 2024","TestCreateCourier","test_create_courier","",""
"","123","Создание заказа со значением ключа color","tests","Wed Sep 11 10:01:34 MSK 2024","passed","Wed Sep 11 10:01:34 MSK 2024","TestOrderCreate","test_order_create","",""
"","364","Успешная регистрация курьера","tests","Wed Sep 11 10:00:32 MSK 2024","passed","Wed Sep 11 10:00:32 MSK 2024","TestCreateCourier","test_create_courier","",""
"","984","Успешная регистрация курьера","tests","Wed Sep 11 10:00:32 MSK 2024","passed","Wed Sep 11 10:00:33 MSK 2024","TestCreateCourier","test_create_courier","",""
"","82","Создание заказа со значением ключа color","tests","Wed Sep 11 10:01:34 MSK 2024","passed","Wed Sep 11 10:01:34 MSK 2024","TestOrderCreate","test_order_create","",""
